challenge_name,country,question_number,snippet
plagiarism concerns,CIV,2.2,concerns about data protection and plagiarism
lack of awareness,CIV,2.3,low level of knowledge and adoption of open science
no national policy,CIV,2.3,no formal national or institutional open science policy
no national roadmap,CIV,2.3,No national roadmap has been finalised and adopted
poor coordination,CIV,2.3,nor a management committee to ensure proper governance
lack of awareness,CIV,2.4,limited understanding of open science
no legal framework,CIV,2.4,"institutions lack legal frameworks, policies or roadmaps"
no national policy,CIV,2.4,"no comprehensive strategy, national roadmap or national policy in place"
no national roadmap,CIV,2.4,"no comprehensive strategy, national roadmap or national policy"
lack of funding,CIV,2.6,Institutional research budgets...do not allocate funding for open science activities
no national policy,CIV,2.6,no national policy on open science
competing priorities,CIV,2.7,Budget priorities do not focus on implementing open science initiatives
inadequate infrastructure,CIV,2.7,Digital infrastructures are insufficiently adapted
lack of awareness,CIV,2.7,limited understanding of the stakes and benefits of open science
lack of funding,CIV,2.7,lack of funding or institutional support for research activities
no national policy,CIV,2.7,no policies or strategies to promote open science at the institutional level
lack of awareness,CIV,4.2,majority of decision-makers have limited knowledge of open science
competing priorities,CIV,4.3,competing priorities
inadequate infrastructure,CIV,4.3,Institutional infrastructures are insufficient
lack of awareness,CIV,4.3,limited knowledge of open science
lack of capacity building,CIV,4.3,"no advocacy, awareness-raising or training programme"
lack of funding,CIV,4.3,limited budgetary resources
no legal framework,CIV,4.3,A regulatory framework is lacking
cultural resistance,CIV,5.1,problem with shifting the scientific paradigm or culture
no legal framework,CIV,5.1,"no policies, regulations or legal frameworks in place"
no national policy,CIV,5.1,"no policies, regulations or legal frameworks in place"
plagiarism concerns,CIV,5.1,"uncertainty and reluctance regarding the risks of open access, such as fraud and plagiarism"
traditional metrics,CIV,5.1,Innovative systems and processes for research evaluation...have not yet been implemented
no legal framework,CIV,5.2,no formal framework for implementing collaboration with civil society actors
poor coordination,CIV,5.2,no formal framework for implementing...open dialogue
plagiarism concerns,CIV,5.4,"problems of plagiarism, cybercrime...theft of ideas and research results"
predatory publishing,CIV,5.4,predatory journals
security concerns,CIV,5.4,problems of cybercrime theft of ideas and research results
cultural resistance,CIV,6.1,Reluctance among teacher-researchers
lack of awareness,CIV,6.1,Insufficient information regarding the Recommendation on Open Science
plagiarism concerns,CIV,6.1,risks of plagiarism and idea theft associated with open access publishing
lack of awareness,CIV,7.2,Lack of knowledge about open science and its partners
no national policy,CIV,7.2,"Absence of policies, strategies or roadmaps on open science"
no national roadmap,CIV,7.2,"Absence of policies, strategies or roadmaps on open science"
lack of funding,CIV,7.3,Funding for institutional activities depends on budgetary resources...or calls for proposals
no national policy,CIV,7.3,no national open science policy
no national roadmap,CIV,7.3,no action plan or roadmap for securing the necessary funding
poor coordination,CIV,7.3,does not have an officially mandated interlocutor to lead this type of discussion
lack of funding,COG,4.2,insufficient funding
lack of planning,COG,4.2,Lack of [open science] activity planning
limited human resources,COG,4.2,inadequate human resources
IP rights concerns,COG,5.4,exploitation and privatization of research data
predatory publishing,COG,5.4,predatory practices
publishing costs,COG,5.4,high publication costs for articles
geopolitical pressures,CUB,8.1,United States Government Economic Blockade
inadequate infrastructure,CUB,8.1,obsolescence of the available infrastructure is becoming more acute
internet connectivity,CUB,8.1,cannot access certain sites and services
lack of funding,CUB,8.1,Access to international funding technologies and resources necessary for research is hampered
lack of interoperability,CUB,8.1,Cuban platforms are unable to use the DOI which affects their interoperability
lack of funding,CYP,2.3,lack of resources
lack of funding,CYP,5.3,lack of funding
IP rights concerns,CZE,5.4,privatisation of research data
lack of funding,CZE,5.4,the overall funding of research is considered to be rather low
lack of interoperability,CZE,5.4,The lack of interoperability between different data platforms can hinder the efficient sharing and reuse of research data
no incentives,CZE,5.4,the evaluation schemes don't take these additional efforts into consideration yet
predatory publishing,CZE,5.4,problems of predatory or potentially predatory journals
publishing costs,CZE,5.4,increase in costs for publications
traditional metrics,CZE,5.4,Czech researchers are conservative in viewing highly impacted journals as the pinnacle of publishing
institutional fragmentation,CZE,7.3,it is necessary to unify this topic at national level
poor coordination,CZE,7.3,it is necessary to unify this topic at national level
university autonomy,DEU,4.3,"Due to university autonomy, only very few centralized requirements are possible"
publishing costs,DEU,5.4,costs for (commercial) Open Access
security concerns,DEU,5.4,Open Science has become a topic in relation to Research Security and Digital Sovereignty
publishing costs,DNK,5.4,costs of Open Access publishing with APC...have risen significantly
IP rights concerns,DNK,8.1,qualitative data raises ethical concerns and risks misinterpretation
cultural resistance,DNK,8.1,"English dominates scientific discourse, potentially excluding local communities"
language barriers,DNK,8.1,language barriers persist as English dominates scientific discourse potentially excluding local communities
publishing costs,DNK,8.1,current publishing system favors established journals with high fees
nascent research ecosystem,ECU,5.2,open science is a relatively new approach...still being socialized
nascent research ecosystem,ECU,5.3,open science is a relatively new approach...still being socialized
publishing costs,EGY,5.4,open access publishing can be expensive due to article processing charges (APCs)
publishing costs,EGY,8.1,steep Article Processing Charges (APCs) imposed by many publishers
traditional metrics,EGY,8.1,lack of universally accepted and equitable more inclusive open metrics
predatory publishing,FIN,5.4,commercial open access publishers whose business model is based on collecting as many author fees (APC fees) as possible
publishing costs,FIN,5.4,"commercial open access publishers, whose business model is based on collecting as many author fees (so called APC fees) as possible"
no private sector engagement,FRA,2.8,France does not have an open science policy...oriented toward the private sector
lack of planning,FRA,4.3,no sufficiently clear and widely agreed-upon vision on this matter
cultural resistance,FRA,5.4,Certain opposition emerged following the dissemination of the recommendations on open science
lack of planning,FRA,6.1,"their implementation requires a careful analysis of the issues, which has not yet been fully carried out"
nascent research ecosystem,GEO,5.4,typical challenges as countries transition to more open and transparent research systems
cultural resistance,GEO,8.1,Cultural and Institutional Resistance
geopolitical pressures,GEO,8.1,International Relations and Alignment
inadequate infrastructure,GEO,8.1,Technical and Infrastructure Limitations
lack of awareness,GEO,8.1,Access to Information and Knowledge Networks
lack of funding,GEO,8.1,Economic Constraints
no national policy,GEO,8.1,Political and Governance Issues
lack of funding,GMB,2.2,funding challenges to review the National STI policy
no national policy,GMB,2.8,lack of policy
lack of funding,GMB,3.3,funding challenges
no national policy,GMB,3.4,lack of policy
nascent research ecosystem,GMB,4.1,Institutional readiness for open science is a challenge
nascent research ecosystem,GMB,4.2,National readiness
no national policy,GMB,4.2,Lack of Policy
lack of funding,GMB,5.1,funding challenges such initiative was not sustained
nascent research ecosystem,GMB,5.2,National readiness
no national policy,GMB,5.2,Lack of Policy
no incentives,GMB,5.3,Lack of research assessment standards and tools
traditional metrics,GMB,5.3,Lack of research assessment standards and tools
lack of funding,GMB,7.2,Funding challenges
lack of capacity building,GMB,8.1,capacity both in terms of technical and human
limited human resources,GMB,8.1,capacity both in terms of technical and human
poor coordination,GMB,8.1,Coordination challenges
lack of funding,GNB,2.4,financial resources are insufficient
lack of funding,GNB,2.6,does not have specific national funding allocated in the general state budget
inadequate infrastructure,GNB,3.4,financial difficulties in building open science infrastructure
lack of funding,GNB,3.4,The biggest obstacle is the lack of funding
lack of capacity building,GNB,4.1,lack of financial resources for training and capacity-building
lack of funding,GNB,4.1,lack of financial resources for training and capacity-building
lack of expertise,GNB,4.2,Technical support for open science policies and strategies
inadequate infrastructure,GNB,4.3,does not have infrastructure for open science
lack of funding,GNB,5.4,country has not supported its existing scientists
limited human resources,GNB,5.4,thereby losing talent in the field of open science
inadequate infrastructure,GNB,7.3,need...support in the development of open science infrastructures
lack of expertise,GNB,7.3,We need technical and institutional support
lack of funding,GNB,8.1,Financial difficulties in collecting information for implementation
institutional fragmentation,GRC,2.2,distribution of responsibilities across three ministries
poor coordination,GRC,2.2,requires clear guidelines and enhanced coordination
predatory publishing,HUN,5.4,articles in journals with objectionable practices
lack of awareness,IDN,4.1,limited understanding by policy makers
no national policy,IDN,4.1,lack of policy initiatives that explicitly support the implementation of open science
lack of awareness,IDN,4.2,limited understanding by policy makers
no national policy,IDN,4.2,lack of policy initiatives that explicitly support the implementation of open science
lack of planning,IDN,5.2,most existing activities are still focused on downstream aspects of the research cycle
traditional metrics,IDN,5.2,existing activities are still focused on downstream aspects...especially on open access publications
traditional metrics,IDN,5.3,focus of evaluation and awards is more on citation-based measurements
IP rights concerns,IDN,5.4,concern that the research results...can easily be exploited commercially
cultural resistance,IDN,5.4,research results that have been made public will face difficulties in the formal publication process
plagiarism concerns,IDN,5.4,"fear that when research results are freely disclosed, the work will be vulnerable to acts of plagiarism"
traditional metrics,IDN,8.1,Regulations that are heavy on mainstream metrics (citation based)
security concerns,IRL,8.1,growing international concerns about data security
geopolitical pressures,IRN,3.4,American sanctions and their chilling effects
geopolitical pressures,IRN,8.1,sanctions
cultural resistance,ITA,5.4,ongoing debate on balancing open science with security and research integrity
security concerns,ITA,5.4,ongoing debate on balancing open science with security and research integrity
competing priorities,ITA,8.1,growing attention to the ethical aspects of Artificial Intelligence and Cybersecurity
security concerns,ITA,8.1,there is growing attention to the ethical aspects of Artificial Intelligence and Cybersecurity
publishing costs,JPN,8.1,subscription fees for academic journals and article processing charges (APC) are increasing considerably
traditional metrics,JPN,8.1,excessive dependence on quantitative indicators in research evaluation
predatory publishing,KOR,5.4,problems of predatory journals and conferences intensified
lack of awareness,LBY,8.1,Delays in the formal dissemination...hinder widespread awareness
lack of funding,LBY,8.1,No funds have been allocated
lack of planning,LBY,8.1,Delay in appointing a National Focal Point
no national policy,LBY,8.1,no established policy or strategy specifically for Open Science
poor coordination,LBY,8.1,Coordinating efforts among different ministries and research institutions has proven difficult
limited human resources,LTU,4.2,the small size of the administration
small country scale,LTU,4.2,the small size of the administration
lack of funding,LTU,4.5,resource constraints
geopolitical pressures,LTU,6.1,Geopolitical changes require greater concern for security and autonomy
security concerns,LTU,6.1,greater concern for security and autonomy
lack of funding,LTU,7.2,limited resources
publishing costs,LUX,5.4,significant increases in publication costs...due to article processing charges
publishing costs,LUX,8.1,High costs related to Open Access publishing
small country scale,LVA,7.2,Our country is too small
no legal framework,MAR,1.4,no obligations in the terms of reference of the various calls for projects
no national policy,MAR,1.4,there are no obligations in the terms of reference of the various calls for projects financed by these funds for such research to be accessible to the public
traditional metrics,MAR,1.4,generally published in indexed journals
no national policy,MAR,4.1,no policy framework on open science
no national policy,MAR,5.3,depend on the development and approval...of the national policy on open science
no national roadmap,MAR,5.3,depend on the development and approval of the projects of the national strategy
nascent research ecosystem,MAR,7.2,adoption of open science is relatively recent
nascent research ecosystem,MAR,7.3,adoption of open science is relatively recent
university autonomy,MEX,4.3,each educational institution has a certain autonomy in this area
lack of awareness,MLI,1.4,Lack of awareness of open science
lack of funding,MLI,1.4,the country's economic situation
lack of funding,MLI,2.2,Insufficient funding
limited human resources,MLI,2.2,lack of human resources involved in the open science sector
lack of planning,MLI,2.3,"Lack of planning, poor management of risks"
limited human resources,MLI,2.3,poor management of...human resources
lack of capacity building,MLI,2.4,Training sessions on open science culture
lack of funding,MLI,2.7,Challenges in obtaining funding for open science
lack of capacity building,MLI,2.8,lack of capacity-building for the National Center
lack of funding,MLI,2.8,Insufficient funding
inadequate infrastructure,MLI,4.1,absence of infrastructure for open science
lack of funding,MLI,4.1,Lack of funding
lack of funding,MLI,4.5,Financial difficulties
lack of funding,MLI,5.1,Lack of funding mechanisms
nascent research ecosystem,MLI,5.1,unfavorable research environment for nurturing talent
poor coordination,MLI,5.2,Dialogue among researchers for a shared vision of research priorities
lack of capacity building,MLI,5.3,difficulties in organising both training sessions
lack of funding,MLI,5.3,Material and human difficulties
limited human resources,MLI,5.3,human difficulties
no incentives,MLI,5.3,competitions to reward these practices
lack of planning,MLI,7.2,Lack of a long-term research strategy
no national roadmap,MLI,7.2,Lack of a long-term research strategy
lack of funding,MLI,7.3,integrate open science into research funding mechanisms
no legal framework,MRT,2.7,Lack of an adequate regulatory framework
lack of capacity building,MRT,4.5,Lack of trainers
lack of expertise,MRT,4.5,Lack of trainers
limited human resources,MRT,4.5,Lack of trainers
lack of funding,MRT,5.1,Resource mobilisation for an international consultation
lack of funding,MRT,5.2,resource mobilisation for an international consultation
no legal framework,MRT,5.2,Inadequate regulatory framework
lack of funding,MRT,5.3,financial constraints
lack of awareness,MRT,6.1,Lack of awareness
lack of funding,MRT,6.1,financial constraints
IP rights concerns,MUS,2.2,applicability and implications of IP rights for Open Science practices
poor coordination,MUS,2.2,difficulty lies on who will coordinate such an initiative
inadequate infrastructure,MUS,3.3,Technical aspects in terms of the type of technology
internet connectivity,MUS,3.3,The Technical aspects in terms of the type of technology to be used for the inland connectivity
lack of funding,MUS,3.3,the financial model for the NREN for its sustainability
inadequate infrastructure,MUS,3.4,Current research infrastructures tend to be fragmented
institutional fragmentation,MUS,3.4,"Current research infrastructures tend to be fragmented, lacking coordination"
lack of funding,MUS,3.4,insufficient financial investment
no legal framework,MUS,3.4,Existing regulations often hinder effective collaboration
inadequate infrastructure,MUS,4.1,Inadequate infrastructure or strategic support
lack of capacity building,MUS,4.1,implementing open science practices and training programs
poor coordination,MUS,7.3,limited communication about ongoing initiatives or the absence of active participation
cultural resistance,MUS,8.1,Traditional research culture resistant to open sharing
inadequate infrastructure,MUS,8.1,Infrastructure costs for digital platforms and data storage
lack of awareness,MUS,8.1,Limited awareness of open science practices
lack of expertise,MUS,8.1,Limited expertise in open science practices
lack of funding,MUS,8.1,Financial constraints
limited human resources,MUS,8.1,Limited human resources for managing open science initiatives
publishing costs,MUS,8.1,High costs associated with journal subscriptions
traditional metrics,MUS,8.1,Lack of standardized protocols for data sharing
IP rights concerns,MYS,8.1,concerns over intellectual property
cultural resistance,MYS,8.1,Cultural resistance within traditional research settings
inadequate infrastructure,MYS,8.1,insufficient access to digital platforms for data sharing and collaboration
lack of funding,MYS,8.1,limited funding for open science initiatives
security concerns,MYS,8.1,perceived risks associated with public data sharing
lack of awareness,NER,1.4,weak dissemination of the values and principles of open science
lack of capacity building,NER,1.4,lack of training for the focal point
lack of planning,NER,1.4,lack of a strategy for disseminating the values and principles of open science
no national roadmap,NER,1.4,lack of a strategy for disseminating the values and principles of open science
poor coordination,NER,1.4,Delay in the designation of the open science focal point
nascent research ecosystem,NER,4.3,recommendations on open science are not yet operational
no national policy,NER,4.3,recommendations on open science are not yet operational
lack of awareness,NGA,2.6,very little knowledge about open science
lack of planning,NGA,2.6,A lot of what has been done in open science have been more by accident than deliberate
lack of awareness,NGA,2.7,Open Science practices are still being viewed as new
nascent research ecosystem,NGA,2.7,Open Science practices are still being viewed as new
institutional fragmentation,NGA,4.2,no coordinated capacity-building initiative targeting government officials
lack of awareness,NGA,4.2,gap in awareness and implementation at the decision-making level
lack of capacity building,NGA,4.2,no coordinated capacity-building initiative
lack of funding,NGA,4.2,absence of dedicated funding and institutional mechanisms
no national policy,NGA,4.2,Open science is not yet a central component of STI policy framework
IP rights concerns,NGA,5.3,fear that open science practices may undermine their...intellectual property rights
competing priorities,NGA,5.3,most available funding is directed toward core scientific research rather than establishing incentive mechanisms
cultural resistance,NGA,5.3,resistance among some scholars who fear that open science practices may undermine their competitive advantage
lack of awareness,NGA,5.3,Many researchers are still unfamiliar with the benefits of open science
lack of funding,NGA,5.3,Funding for research and development is grossly limited
no incentives,NGA,5.3,tenure and promotion criteria...do not yet formally recognize open science contributions
poor coordination,NGA,5.3,Nigeria lacks a multi-stakeholder framework
traditional metrics,NGA,5.3,still prioritize traditional research output metrics
IP rights concerns,NGA,5.4,lack of clear guidelines on how to balance open access with intellectual property protection
inadequate infrastructure,NGA,5.4,Researchers in rural areas and underfunded institutions may struggle to participate due to inadequate infrastructure
internet connectivity,NGA,5.4,disparities in internet access and digital literacy across Nigeria
plagiarism concerns,NGA,5.4,Risk of Data Misuse and Misinterpretation
predatory publishing,NGA,5.4,increase in predatory journals that charge publication fees without proper peer review
security concerns,NGA,5.4,publicly available research data may be misused misinterpreted or taken out of context
IP rights concerns,NGA,8.1,Intellectual Property (IP) and Copyright Concerns
lack of funding,NGA,8.1,many universities and research institutions lack dedicated funding
poor coordination,NGA,8.1,Limited International Collaboration
publishing costs,NLD,5.4,risen Article Processing Costs
lack of funding,NLD,8.1,"due to upcoming general budget cuts, there will be less budget available"
predatory publishing,NOR,5.4,reporting of predatory journals to the Norwegian Register
IP rights concerns,PAK,5.4,Intellectual Property and Data Security
security concerns,PAK,5.4,Data Security
geopolitical pressures,PAK,8.1,"rely on foreign technologies and platforms, which may come with access restrictions"
inadequate infrastructure,PAK,8.1,unequal access to global research infrastructure
lack of funding,PAK,8.1,limited access to international funding mechanisms
lack of interoperability,PAK,8.1,access restrictions subscription costs or licensing limitations that affect openness and interoperability
no legal framework,PAK,8.1,lack of globally harmonized standards for open science data sharing
no private sector engagement,PER,2.8,feasibility of implementing public-private partnerships...has not yet been assessed
IP rights concerns,PHL,8.1,data and sample sharing concerns
publishing costs,PHL,8.1,expensive publication fees in journals
security concerns,PHL,8.1,data and sample sharing concerns or limitations of other countries
inadequate infrastructure,PSE,2.2,limited infrastructure for implementing open science practices
lack of awareness,PSE,2.2,lack of awareness and understanding of open science principles among policymakers
lack of funding,PSE,2.2,insufficient funding for open science initiatives
no legal framework,PSE,2.2,absence of a legal framework to support open data sharing
no national policy,PSE,2.2,existing research policies do not explicitly address the need for open science
lack of funding,PSE,2.3,limited resources allocated to such initiatives
lack of planning,PSE,2.3,lack of clear indicators or goals for evaluating their effectiveness
competing priorities,PSE,2.6,insufficient alignment of national research funding priorities with open science principles
lack of awareness,PSE,2.6,lack of awareness about the importance of such initiatives
lack of funding,PSE,2.6,limited budget
lack of awareness,PSE,2.8,limited awareness of the importance of open science
no incentives,PSE,2.8,lack of clear incentives for private companies
no legal framework,PSE,2.8,absence of formal frameworks to encourage collaboration
no private sector engagement,PSE,2.8,lack of clear incentives for private companies to engage in open science practices
cultural resistance,PSE,4.1,Many researchers and institutions still follow traditional publishing and data-sharing models
inadequate infrastructure,PSE,4.1,"Limited access to advanced digital repositories, data-sharing platforms"
internet connectivity,PSE,4.1,Limited access to...high-speed internet
lack of awareness,PSE,4.1,Many researchers and institutions still follow traditional publishing and data-sharing models
lack of funding,PSE,4.1,lack of dedicated financial support
no national policy,PSE,4.1,no comprehensive national policy or strategy that mandates open science practices
competing priorities,PSE,4.2,Policymakers are often engaged with pressing national issues
lack of awareness,PSE,4.2,policymakers may not be fully aware of the benefits of open science
lack of expertise,PSE,4.2,Many policymakers may not be fully aware...or how to integrate it
lack of funding,PSE,4.2,Funding constraints
no national policy,PSE,4.2,no formalized national framework that mandates training for policymakers
cultural resistance,PSE,5.1,resistance to shifting towards open science-aligned evaluation systems
lack of awareness,PSE,5.1,Many researchers and institutions are accustomed to traditional assessment criteria
lack of expertise,PSE,5.1,Limited...expertise make it challenging to implement reforms
lack of funding,PSE,5.1,Limited funding and expertise
no national policy,PSE,5.1,Universities and research institutions have yet to adopt formal policies
traditional metrics,PSE,5.1,evaluation processes prioritize conventional metrics such as journal impact factors and citation counts
war,PSE,8.1,Palestine is still under the Israeli occupation and will suffer for long due to the war in Gaza
IP rights concerns,QAT,5.4,concerns about being scooped by researchers from other countries
cultural resistance,QAT,5.4,researchers may be reluctant to openly share early findings or data
geopolitical pressures,QAT,5.4,"Geopolitical tensions, such as the 2017 blockade of Qatar"
language barriers,QAT,5.4,making open science resources accessible to a wider Arabic-speaking audience in Qatar may pose a challenge
plagiarism concerns,QAT,5.4,push for open science may compel researchers...to share findings...before undergoing thorough peer review
security concerns,QAT,5.4,open data sharing can pose risks of exposing sensitive information
traditional metrics,QAT,5.4,current academic evaluations favor traditional metrics
IP rights concerns,QAT,8.1,risks related to intellectual property rights
cultural resistance,QAT,8.1,researchers and/or institutions may resist changing traditional practices
inadequate infrastructure,QAT,8.1,disparities in digital infrastructure across regions
lack of funding,QAT,8.1,open science initiatives often require significant resources
lack of planning,QAT,8.1,administrative burden for developing and enforcing open science policies
publishing costs,QAT,8.1,transition to open-access publishing is costly...authors who pay publication fees
security concerns,QAT,8.1,"ensuring privacy and security of data, especially personal or sensitive information"
predatory publishing,ROU,5.4,"proliferation of some special issues, which some argue may compromise academic standards"
publishing costs,ROU,5.4,"shift in focus from research quality to quantity, driven by the need to cover publication fees"
traditional metrics,ROU,5.4,financial burden placed on institutions and the potential shift in focus from research quality to quantity
IP rights concerns,SAU,5.4,concerns over intellectual property rights
predatory publishing,SAU,5.4,risks of predatory behaviors
publishing costs,SAU,5.4,"increased financial burden on researchers, such as high article processing charges"
security concerns,SAU,5.4,concerns over...data security
traditional metrics,SAU,5.4,shift toward open science practices may complicate traditional research assessment systems
IP rights concerns,SAU,8.1,apprehensions regarding the sharing of proprietary information
lack of awareness,SAU,8.1,significant gap in the widespread understanding of open science principles
lack of funding,SAU,8.1,allocation of funds specifically for open science initiatives presents financial challenges
no national policy,SAU,8.1,imperative to establish formal policies and frameworks that explicitly advocate for the integration of open science principles
no private sector engagement,SAU,8.1,absence of a national framework or incentives that support private companies
poor coordination,SAU,8.1,ensure alignment with both national and international standards
no national policy,SEN,1.4,There is no national policy
inadequate infrastructure,SEN,5.4,Digital technologies
institutional fragmentation,SEN,5.4,Fragmentation of initiatives
lack of awareness,SEN,5.4,Low initial awareness
lack of funding,SEN,5.4,Lack of dedicated funding
no legal framework,SEN,5.4,Absence of a clear legal framework
no national policy,SEN,5.4,Lack of political engagement and a specific legal framework
institutional fragmentation,SVK,2.7,Difficult and fragmented organizational structure of grant agencies
poor coordination,SVK,2.7,each organization has a different system and different priorities
institutional fragmentation,SVK,4.1,the fragmentation of the system
publishing costs,SVK,5.4,High article processing charges associated with gold OA business models
lack of funding,SVK,8.1,Potential shortage of research funding
cultural resistance,SVN,5.4,requires...cultural change
lack of funding,SVN,5.4,technically and financially demanding endeavour that requires significant additional resources
lack of planning,SVN,5.4,These factors are slowing down the changes
IP rights concerns,TGO,8.1,absence of a clear framework on open intellectual property
competing priorities,TGO,8.1,Political priorities focused on access to basic education or employment
inadequate infrastructure,TGO,8.1,Scarcity of interoperable and standardized institutional repositories
institutional fragmentation,TGO,8.1,"Limited or poorly coordinated synergies among ministries, universities, libraries, scholarly societies"
internet connectivity,TGO,8.1,"Expensive, unstable, or uneven internet connectivity"
lack of awareness,TGO,8.1,"Widespread lack of awareness among faculty members, doctoral students, and administrators"
lack of expertise,TGO,8.1,Low level of proficiency in advanced digital tools (repository platforms data analysis software FAIR tools)
