question_number,question_text,type,question_description,question_short_name,question_long_description,section_number
2.2,"In your country, is there a policy, or a set of policies and/or legal framework(s) at the national level that address open science or any of its key elements in line with the definition, values and principles outlined in the 2021 Recommendation on Open Science?",Closed,"Availability of a legal framework(s) at the national level that addresses open science elements in line with the definition, values
and principles outlined in the 2021 Recommendation on Open Science",Legal or regulatory framework,,2
2.2.1,"If yes or partly, please share a machine-readable PDF file(s) of the policy(ies) and provide information",Open,,Challenges in establishing a legal framework that adresses OS,,2
2.2.2,"If no, please, if possible, briefly explain the reason and the difficulties or obstacles in this area and indicate if there are plans to develop such policies.",Open,,,,2
2.3,"In your country, are there specific policy instruments that aim to promote open science?",Closed,Availability of specific policy instruments in the country that aim to promote open science,Policy instruments,,2
2.3.1,"If yes or under development, please provide details and links as relevant",Open,,Challenges in establishing policy instruments to promote OS,,2
2.3.2,"If no, please, if possible, briefly explain the reason and the difficulties or obstacles in this area and indicate if there are plans to develop such policy instruments.",Open,,,,2
2.4,"In your country, is there a national implementation plan, strategy, policy or a roadmap for implementation of open science at the national level in line with the 2021 Recommendation?",Closed,"Availability of a national implementation plan, strategy or a roadmap for
implementation of open science at the national level in line with the 2021 Recommendation",National plan/roadmap,,2
2.4.1,"If yes or under development, please provide details and links as relevant",Open,,Challenges in establishing institutional policies for OS,,2
2.4.2,"If no, please, if possible, briefly explain the reason and the difficulties or obstacles in this area and indicate if there are plans to develop such policy instruments.",Open,,,,2
2.5,"In your country, are there policies and/or strategies that promote open science in line with the 2021 Recommendation at institutional level, including in the context of research-performing institutions, universities, scientific unions and associations and learned societies?",Closed,"Avaialbility of policies and/or strategies that promote open science in line with the
2021 Recommendation at institutional level, including in the context of research performing
institutions, universities, scientific unions and associations and learned societies",Institutional open science policies,,2
2.5.1,"If yes, please provide more information, including the number of policies, name of the institute(s) that has/have developed the policy(s) and elements of open science included in the policy",Open,,,,2
2.6,"In your country, are there specific funding mechanisms for open science at the national level?",Closed,Availability of specific funding mechanisms for implementation of open science at the national level,Funding mechanisms,,2
2.6.1,"If yes or under development, please provide details and links as relevant.",Open,,Challenges in establishing specific funding mechanisms for OS,,2
2.6.2,"If no, please, if possible, briefly explain the reason and the difficulties or obstacles in this area and indicate if there are plans to develop such funding mechanisms.",Open,,,,2
2.7,"In your country, have open science practices been integrated in existing research funding mechanisms?",Closed,Open science practices have been integrated in existing research funding mechanisms,Open science in research funding,,2
2.7.1,"If yes, please provide details and links as relevant.",Open,,Challenges in integrating OS within research funding mechanisms,,2
2.7.2,"If no, please, if possible, briefly explain the reason and the difficulties or obstacles in this area and indicate if there are plans to do so.",Open,,,,2
2.8,Have efforts been made or are foreseen to be undertaken by end of 2025 in your country to foster equitable public-private partnerships on open science in line with the 2021 Recommendation?,Closed,"Efforts have been made or are foreseen to be undertaken by end of 2025 in the country to
foster equitable public-private partnerships on open science in line with the 2021 Recommendation",Public-private partnerships,,2
2.8.1,"If yes, please provide details and links as relevant.",Open,,Challenges in establishing PPP on OS,,2
2.8.2,"If no, please, if possible, briefly explain the reason and the difficulties or obstacles in this area and indicate if there are plans to do so.",Open,,,,2
2.9,Is there a national monitoring framework for open science in your country? Or are there specific indicators on open science included in the national monitoring and evaluation framework for STI policy,Closed,"Availability of a national monitoring framework for open science or inclusion of specific open science indicators in the national monitoring and evaluation framework for science, technology and innovation policy",National monitoring framework,,2
2.9.1,"If yes or under development, please provide details and links as relevant.",Open,,,,2
3.3,Are there national research and education networks (NRENs) active in the country?,Open,,Challenges in establishing NRENs,,3
3.3.1,"If yes, please provide more information and links as relevant, and indicate to which open science actors in your country those networks are accessible.",Open,,,,3
3.3.2,"If no, please, if possible, briefly explain the reason and the difficulties or obstacles in this area and indicate if there are plans to establish them.",Open,,,,3
3.4,Are there national or institutional open science infrastructures in your country?,Closed,Availability of national or institutional open science infrastructures,Open science infrastructure,,3
3.4.1,"If yes or under development, please indicate which type(s) of infrastructure - Federated IT Infra",Closed,,,"Countries selecting ‘yes’ or ‘under development’ reported additional details on the availability of the following types of open science infrastructure: -          federated information technology infrastructure for open science, including high-performance computing, cloud computing and data storage; -          community managed infrastructures, protocols and standards, for example those that support bibliodiversity and engagement with society; -          platforms for exchanges and co-creation of knowledge between scientists and society; -          community-based monitoring and information systems to complement national, regional and global data and information systems",3
3.4.2,"If yes or under development, please indicate which type(s) of infrastructure - Community managed infrastructure",Closed,,,,3
3.4.3,"If yes or under development, please indicate which type(s) of infrastructure - Platforms for exchange",Closed,,,,3
3.4.4,"If yes or under development, please indicate which type(s) of infrastructure - Community based monitoring system",Closed,,,,3
3.4.5,"If yes or under development, for each infrastructure, please provide links as relevant and more information with regard to their compliance with the 2021 Recommendation",Open,,Challenges in establishing OS infrastructures,,3
3.4.6,"If no, please, if possible, briefly explain the reason and the difficulties or obstacles in this area and indicate if there are plans to do so.",Open,,,,3
3.5,Does your country host or fund any federated regional or international information technology infrastructure for open science?,Closed,Hosting or funding by the country of any federated regional or international information technology infrastructure for open science,Hosting/funding of regional/international open science infrastructures,,3
3.5.1,"If yes, please provide links as relevant and more information",Open,,,,3
3.5.2,"If no, are the existing open science infrastructures at regional and international levels accessible to all the relevant open science actors from your country?",Closed,,,"Countries selecting ‘no’ reported additional details on the accessibility of existing regional and international open science infrastructures within their country: - Yes, accessible; - No, not accessible",3
3.6,"Is your country involved in any North-South, North-South-South and South-South collaborations to optimize infrastructure use and joint strategies for shared, multinational, regional and national open science platforms?",Closed,"The country's involvement in any North-South, North-South-South and South-South collaborations to optimise infrastructure use and joint strategies for shared, multinational, regional and national open science platforms",Multinational infrastructure collaborations,,3
3.6.1,"If yes, please provide links as relevant and more information",Open,,,,3
4.1,Has systematic capacity building on open science taken place in higher education and/or research performing institutions in your country?,Closed,Systematic capacity building on open science has been taken place in higher education and/or research performing institutions,Capacity building in higher education/research institutions,,4
4.1.1,"If yes, please indicate if those capacity building initiatives are formal or informal and provide more information and links as relevant.",Open,,Challenges related to OS capacity building in HE & research institutions,,4
4.1.2,"If no, please, if possible, briefly explain the reason and the difficulties or obstacles in this area and indicate if there are plans to do so.",Open,,,,4
4.2,Have capacity building programmes for policy makers on how to integrate core values and principles of open science in STI policies and strategies taken place in your country?,Closed,"Capacity building programmes have been taken place for policymakers on integrating core values and principles of open science in science, technology and innovation policies and strategies",Capacity building for policymakers,,4
4.2.1,"If yes, please provide more information and links as relevant.",Open,,Challenges related to  OS capacity building for policymakers,,4
4.2.2,"If no, please, if possible, briefly explain the reason and the difficulties or obstacles in this area and indicate if there are plans to do so.",Open,,,,4
4.3,"Has a framework of open science competencies been incorporated into higher education research skills curricula in your country, or is it foreseen by the end of 2025?",Closed,"A framework of open science competencies has been incorporated into higher education research skills curricula in the country, or it is foreseen by the end of 2025",Competency framework in higher education,,4
4.3.1,"If yes, please provide more information and links as relevant.",Open,,Challenges in incorporating OS competencies framework in HE,,4
4.3.2,"If no, please, if possible, briefly explain the reason and the difficulties or obstacles in this area and indicate if there are plans to do so.",Open,,,,4
4.4,"Are open educational resources as defined in the 2019 Recommendation on Open Educational Resources, used as an instrument for open science capacity building in your country in line with the 2019 Recommendation mentioned above?",Closed,"Open educational resources, as defined in the 2019 Recommendation on Open Educational Resources, are used as an instrument for open science capacity building in the country",Open educational resources,,4
4.5,"Have there been any initiatives in your country to support science communication in line with open science value and principles with a view to the dissemination of scientific knowledge to researchers of different disciplines, decision-makers and the public at large?",Closed,"Initiatives to support science communication in line with open science values and principles, with a view to the dissemination of scientific knowledge to researchers of different disciplines, decision-makers and the public at large",Open science-driven science communication initiatives,,4
4.5.1,"If yes, please provide more information and links as relevant.",Open,,Challenges in promoting science communication in line with OS values,,4
4.5.2,"If no, please, if possible, briefly explain the reason and the difficulties or obstacles in this area and indicate if there are plans to do so.",Open,,,,4
5.1,"Have there been any initiatives at the national or institutional level, e.g. by universities and/or research performing institutions, to review the existing research assessment and evaluation processes in order to align them with open science principles and values or are they foreseen by the end of 2025?",Closed,"Initiatives at the national or institutional level, e.g. by universities and/or research performing institutions, to review the existing research assessment and evaluation
processes in order to align them with open science principles and values have been undertaken or are foreseen by the end of 2025",Research assessment review,,5
5.1.1,"If yes, please provide more information and links as relevant.",Open,,Challenges in establishing initiatives to review research assessment to align with OS,,5
5.1.2,"If no, please, if possible, briefly explain the reason and the difficulties or obstacles in this area and indicate if there are plans to do so.",Open,,,,5
5.2,"Have specific clauses that recognize open science practices, including sharing, collaborating and engaging with other researchers and societal actors beyond the scientific community, or dialogue with other knowledge systems, been incorporated in the career evaluation and progression systems or are foreseen by the end of 2025?",Closed,"Specific clauses that recognise open science practices, including sharing, collaborating and engaging with other researchers and societal actors beyond the scientific community, or dialogue with other knowledge systems, have been incorporated in the career evaluation and progression systems or are foreseen by the end of 2025",Open science in career evaluation and progression,,5
5.2.1,"If yes, please provide details and links as relevant.",Open,,Challenges in integrating OS in career evaluation & progression,,5
5.2.2,"If no, please, if possible, briefly explain the reason and the difficulties or obstacles in this area and indicate if there are plans to do so.",Open,,,,5
5.3,Have there been any initiatives in your country to recognize and reward open science practices or are they foreseen by the end of 2025?,Closed,Initiatives to reward open science practices have been undertaken or are foreseen by the end of 2025,Rewards for open science,,5
5.3.1,"If yes, for each initiative, please provide more information, including on the stakeholders that are involved or lead the initiative, and links as relevant.",Open,,Challenges in establishing initiatives to recognise and reward OS,,5
5.3.2,"If no, please, if possible, briefly explain the reason and the difficulties or obstacles in this area and indicate if there are plans to do so.",Open,,,,5
5.4,Have there been any unintended negative consequences of open science practices reported in your country?,Closed,Unintended negative consequences of open science have been reported by the country,Unintended negative consequences,,5
5.4.1,"If yes, please provide more information and specify if there is a strategy or plan to preventing and mitigating such consequences.",Open,,Negative consequences,,5
6.1,"Have there been any initiatives at the national or institutional level that promote innovative, participatory methodological or procedural changes at different stages of the research cycle to increase the openness of the entire scientific process?",Closed,"Initiatives at the national or institutional level that promote innovative, participatory methodological or procedural changes at different stages of the research cycle to increase the openness of the entire scientific process have been undertaken",Innovative open research practices,,6
6.1.1,"If yes, please indicate which of the recommended actions they address - promotion of pre-prints",Closed,,,"Countries selecting ‘yes’ reported additional details on the promotion of the following specific actions: - promotion of preprints; - exploration of open peer-review practices; - valuing and sharing of negative scientific results and associated data; - participatory methods that value inputs from societal actors, e.g. citizen science, crowdsourcing scientific projects; - development of participatory strategies for identifying the needs of marginalised communities and highlighting socially relevant issues to be incorporated into research agendas; - promoting open innovation practices",6
6.1.2,"If yes, please indicate which of the recommended actions they address - open peer-review",Closed,,,,6
6.1.3,"If yes, please indicate which of the recommended actions they address - negative results",Closed,,,,6
6.1.4,"If yes, please indicate which of the recommended actions they address - participatory methods",Closed,,,,6
6.1.5,"If yes, please indicate which of the recommended actions they address - participatory strategies",Closed,,,,6
6.1.6,"If yes, please indicate which of the recommended actions they address - open innovation",Closed,,,,6
6.1.7,"If yes, please provide more information and links as relevant",Open,,"Challenges in establishing innovative, participatory OS practices across the research cycle",,6
6.1.8,"If no, please, if possible, briefly explain the reason and the difficulties or obstacles in this area and indicate if there are plans to do so.",Open,,,,6
7.1,How is your country promoting and facilitating international scientific collaborations on open science as outlined in the 2021 Recommendation on Open Science?,Open,,,,7
7.2,"Does your country have a strategy or a plan for stimulating cross-border multi-stakeholder collaboration on open science, including with regards to exchange of best practices, capacity building and metrics for open science?",Closed,"Avaialbility of a strategy or a plan in the country for stimulating cross-border multi-stakeholder
collaboration on open science, including with regards to exchange of best practices, capacity
building and metrics for open science",Cross-border collaboration strategies,,7
7.2.1,"If yes, please provide links as relevant and more information.",Open,,Challenges in establishing a strategy for cross-border OS collab,,7
7.2.2,"If no, please, if possible, briefly explain the reason and the difficulties or obstacles in this area and indicate if there are plans to do so.",Open,,,,7
7.3,Is your country involved in any discussion on the establishment of regional and international funding mechanisms for open science?,Closed,"The country's involved in any discussion on the establishment of regional and international
funding mechanisms for open science",Discussions on the establishment of regional/international funding mechanisms,,7
7.3.1,"If yes, please provide links as relevant and more information.",Open,,Challenges in establishing regional/intl. funding mechanisms for OS,,7
7.3.2,"If no, please, if possible, briefly explain the reason and the difficulties or obstacles in this area and indicate if there are plans to do so.",Open,,,,7
8.1,Are there any specific external causes that may impede the implementation of the 2021 UNESCO Recommendation on Open Science in your country?,Closed,,,,8
8.1.1,"If yes, please provide more information.",Open,,External challenges for OS implementation ?,,8
8.2,"ANY OTHER COMMENTS: If you wish, you may enter any additional comments or information here. You may also contact openscience@unesco.org",Open,,,,8
