Country,"Section 1: Promoting a common understanding of open science, associated benefits, and challenges, as well as diverse paths to open science",Q1.1 UNESCO Recommendation promoted/shared,Q1.3 Awareness-raising activities,Section 2: Developing an enabling policy environment for open science,Q2.1 Open science in a national STI policy,Q2.2 Legal or regulatory framework,Q2.3 Policy instruments,Q2.4 National plan/roadmap,Q2.5 Institutional open science policies,Q2.6 Funding mechanisms,Q2.7  Open science in research funding,Q2.8 Public-private partnerships,Q2.9 National monitoring framework,Section 3: Investing in open science infrastructures and services,Q3.4 Open science infrastructure,"Q3.4.1 federated information technology infrastructure for open science, including highperformance
computing, cloud computing and data storage YES","Q3.4.2 community managed infrastructures, protocols and standards, for example those that
support bibliodiversity and engagement with society YES",Q3.4.3 platforms for exchanges and co-creation of knowledge between scientists and society YES,"Q3.4.4 community-based monitoring and information systems to complement national, regional
and global data and information systems YES",Q3.5 Hosting/funding of regional/international open science infrastructures,Q3.5.2 Accessibility of existing regional/intl. OS infras within the country,Q3.6 Multinational infrastructure collaborations,"Section 4: Investing in human resources, training, education, digital literacy and capacity building for open science",Q4.1 Capacity building in higher education/research  institutions,Q4.2 Capacity building for policymakers,Q4.3 Competency framework in higher education,Q4.4 Open educational resources,Q4.5 Open science-driven science communication initiatives,Section 5: Fostering a culture of open science and aligning incentives for open science,Q5.1 Research assessment review,Q5.2 Open science in career evaluation and progression,Q5.3 Rewards for open science,Q5.4 Unintended negative consequences,Section 6: Promoting innovative approaches for open science at different stages of the scientific process,Q6.1 Innovative open research practices,Q6.1.1 -	promotion of preprints,Q6.1.2 -	exploration of open peer-review practices,Q6.1.3 -	valuing and sharing of negative scientific results and associated data,"Q6.1.4 -	participatory methods that value inputs from societal actors, e.g. citizen science,
crowdsourcing scientific projects",Q6.1.5 -	development of participatory strategies for identifying the needs of marginalised communities and highlighting socially relevant issues to be incorporated into research agendas,Q6.1.6 -	promoting open innovation practices,"Section 7: Promoting international and multi-stakeholder cooperation in the context of open science and with view to reducing digital, technological and knowledge gaps",Q7.2 Cross-border  collaboration strategies,Q7.3 Discussions on the establishment of regional/international funding mechanisms
Belgium,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,N,Y,,Y,N/A,N/A,N/A,N/A,Y,N/A,Y,,Y,N,Y,P,Y,,Y,N,Y,Y,,Y,N/A,N/A,N/A,N/A,N/A,N/A,,N,N
Benin,,N,N,,Y,N,N,N,N,N,N,Y,N,,N,N/A,N/A,N/A,N/A,N,N/A,N,,N,N,N,Y,Y,,Y,Y,N,N,,Y,N,Y,N,Y,Y,N,,Y,Y
Brazil,,Y,Y,,N/A,N,N,N,Y,Y,N,N,U,,Y,N/A,N/A,N/A,N/A,Y,N/A,Y,,Y,N,N,N,Y,,Y,N,Y,N,,Y,N/A,N/A,N/A,N/A,N/A,N/A,,N,N
Canada,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,N/A,Y,,Y,Y,N/A,Y,Y,,Y,Y,Y,Y,,Y,Y,N,N,Y,Y,N,,Y,N
China,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,N/A,Y,,Y,N/A,Y,Y,Y,,Y,Y,Y,N,,Y,Y,Y,N,Y,Y,N,,Y,Y
Congo,,Y,Y,,Y,Y,Y,N,N,N,Y,N,N,,N,N/A,N/A,N/A,N/A,N,N,N,,Y,N,N,N,N,,Y,Y,N,Y,,Y,N/A,N/A,N/A,N/A,N/A,N/A,,N,Y
Costa Rica,,Y,Y,,N/A,Y,Y,N,Y,Y,N/A,N,N,,Y,N/A,N/A,N/A,N/A,Y,N/A,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,N,,Y,N/A,N/A,N/A,N/A,N/A,N/A,,N,Y
Côte d'Ivoire,,Y,Y,,Y,Y,U,N,Y,N,Y,N,N,,Y,Y,N,Y,N,N,N,Y,,Y,N,N,P,Y,,N,N,N,N,,Y,Y,Y,Y,Y,Y,Y,,N,N
Cuba,,Y,Y,,Y,Y,U,N,Y,N,N,Y,N,,Y,Y,Y,N,N,N,Y,Y,,Y,N,Y,P,Y,,Y,N,N,N,,Y,Y,N,N,Y,Y,Y,,N,N
Cyprus,,Y,Y,,Y,Y,N,Y,Y,Y,N,N,Y,,U,Y,N,N,N,N,Y,N,,N,N,N,P,Y,,Y,N,N,N,,N,N/A,N/A,N/A,N/A,N/A,N/A,,N,Y
Czechia,,N,Y,,Y,P,U,U,Y,Y,Y,N,Y,,Y,Y,N,N,N,Y,N/A,N,,Y,Y,Y,P,Y,,Y,N,Y,Y,,N,N/A,N/A,N/A,N/A,N/A,N/A,,N,N
Denmark,,N,Y,,N/A,N,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,N,Y,Y,N/A,Y,,Y,N,N,N,Y,,Y,Y,Y,Y,,Y,N/A,N/A,N/A,N/A,N/A,N/A,,Y,N
Dominican Republic,,Y,Y,,N/A,P,Y,N,Y,Y,Y,Y,Y,,Y,N/A,N/A,N/A,N/A,Y,N/A,Y,,Y,N/A,N,Y,Y,,Y,Y,N,N,,Y,N/A,N/A,N/A,N/A,N/A,N/A,,Y,Y
Ecuador,,Y,Y,,Y,N,N,U,N,N,N,Y,N,,Y,N,N,Y,Y,Y,N/A,Y,,Y,Y,N,N,Y,,Y,N,N,N,,Y,N,N,Y,Y,Y,Y,,Y,Y
Egypt,,Y,Y,,Y,P,Y,U,N/A,Y,Y,Y,Y,,Y,N/A,N/A,N/A,N/A,Y,N/A,Y,,Y,N,N,P,Y,,N,N,N,Y,,Y,N/A,N/A,N/A,N/A,N/A,N/A,,Y,Y
Finland,,Y,Y,,N,Y,Y,Y,Y,U,Y,Y,Y,,Y,N/A,N/A,N/A,N/A,Y,N/A,N,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,Y,N,N,N,Y,N,Y,,Y,Y
France,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,N,Y,,Y,N/A,N/A,N/A,N/A,Y,N/A,N,,N,N,N,Y,Y,,Y,N,Y,Y,,N,N/A,N/A,N/A,N/A,N/A,N/A,,Y,Y
Gambia,,Y,N,,N/A,N,N,N,N,N,N,N,N,,N,N/A,N/A,N/A,N/A,N,N,N,,N,N,N,N,N,,N,N,N,N,,N,N/A,N/A,N/A,N/A,N/A,N/A,,N,Y
Georgia,,Y,Y,,N/A,P,Y,U,U,U,Y,Y,U,,Y,N/A,N/A,N/A,N/A,Y,N/A,Y,,Y,N,Y,Y,Y,,N,Y,Y,N,,Y,N/A,N/A,N/A,N/A,N/A,N/A,,Y,Y
Germany,,Y,Y,,Y,Y,Y,N,Y,Y,Y,Y,N,,Y,Y,Y,Y,Y,Y,N/A,Y,,Y,Y,N,Y,Y,,Y,N,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,N,Y
Greece,,Y,Y,,Y,N,N,U,Y,U,Y,N,U,,U,Y,N,N,Y,Y,N/A,Y,,Y,N,N,Y,Y,,Y,N,N,N,,Y,Y,Y,N,Y,N,Y,,N,N
Guinea-Bissau,,N,Y,,Y,Y,Y,N,U,N,Y,N,Y,,N,N/A,N/A,N/A,N/A,N,N/A,N,,N,N,N,N,N,,Y,Y,Y,Y,,N,N/A,N/A,N/A,N/A,N/A,N/A,,Y,N
Hungary,,Y,Y,,Y,Y,Y,N,Y,U,Y,Y,N,,Y,Y,Y,Y,Y,Y,N/A,N,,Y,Y,N,Y,Y,,Y,N,Y,Y,,Y,N,Y,N,Y,Y,N,,Y,Y
India,,Y,Y,,Y,Y,Y,N,Y,N,N,N,N,,Y,Y,N,N,N,N,N/A,N,,N,N,N,P,N,,N,Y,N,N,,N,N/A,N/A,N/A,N/A,N/A,N/A,,N,N
Indonesia,,Y,Y,,Y,Y,Y,Y,Y,U,Y,N,U,,Y,Y,Y,Y,Y,Y,N/A,Y,,N,N,N,Y,N,,N,N,N,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y
Iran (Islamic Republic of),,Y,Y,,N/A,P,Y,U,Y,Y,Y,N,N,,Y,N,N,N,Y,N,Y,N,,Y,Y,N,N,Y,,Y,Y,Y,N,,Y,N,N,N,N,Y,N,,Y,Y
Ireland,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,U,,Y,N/A,N/A,N/A,N/A,Y,N/A,N,,Y,Y,Y,Y,Y,,Y,Y,Y,N,,Y,N/A,N/A,N/A,N/A,N/A,N/A,,Y,N
Italy,,Y,Y,,Y,P,Y,Y,Y,Y,Y,Y,U,,U,N/A,N/A,N/A,N/A,Y,N/A,Y,,Y,N,N,N,Y,,Y,N,Y,Y,,Y,N/A,N/A,N/A,N/A,N/A,N/A,,Y,Y
Japan,,Y,Y,,Y,P,Y,Y,Y,Y,N,N,Y,,Y,N/A,N/A,N/A,N/A,Y,N/A,N,,Y,N,N,Y,Y,,N,N,N,N,,Y,Y,N,N,N,N,Y,,N,N
Latvia,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,N,Y,,Y,Y,N,N,N,N,Y,N,,Y,N,Y,N,Y,,Y,Y,Y,N,,Y,Y,Y,Y,Y,N,Y,,N,Y
Libya,,Y,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Y,Y,Y,N,N,N/A,N/A,N/A,,N,N/A,N/A,N/A,N/A,,Y,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A
Lithuania,,Y,N,,Y,P,U,U,Y,Y,Y,N,U,,Y,Y,Y,N,N,Y,N/A,Y,,Y,N,Y,N,N,,Y,Y,Y,N,,N,N/A,N/A,N/A,N/A,N/A,N/A,,N,N
Luxembourg,,Y,Y,,Y,P,Y,Y,Y,Y,Y,Y,U,,Y,Y,Y,N,N,Y,N/A,N,,Y,N,Y,P,Y,,Y,Y,Y,Y,,Y,Y,N,Y,Y,N,Y,,N,N
Malaysia,,Y,Y,,Y,Y,Y,Y,Y,N/A,Y,Y,N/A,,Y,Y,N,Y,N,N/A,N/A,Y,,Y,Y,Y,Y,Y,,N,N,Y,N,,Y,Y,Y,Y,Y,Y,Y,,Y,Y
Mali,,Y,Y,,Y,N,N,N,N,U,N,N,U,,N,N/A,N/A,N/A,N/A,N,N,N,,N,N,N,N,N,,N,N,N,N,,Y,Y,N,Y,N,Y,Y,,N,N
Mauritania,,Y,Y,,Y,P,N,N,N,N,N,N,N,,U,N/A,N/A,N/A,N/A,N,N/A,Y,,Y,N,N,P,N,,N,N,N,N,,N,N/A,N/A,N/A,N/A,N/A,N/A,,N,N/A
Mauritius,,Y,Y,,Y,N,N,N,Y,Y,Y,Y,U,,N,N/A,N/A,N/A,N/A,N,Y,Y,,N,N,N,N,N,,Y,N,Y,N,,Y,Y,Y,N,Y,N,N,,Y,N
Mexico,,Y,Y,,Y,P,Y,Y,Y,N,Y,Y,Y,,Y,Y,N,Y,N,Y,N/A,Y,,N,N,N,P,Y,,N,Y,N,N,,Y,Y,N,N,N,N,N,,Y,N
Mongolia,,Y,Y,,N/A,Y,U,N,Y,Y,Y,Y,N,,Y,N,N,Y,N,N,N/A,N,,Y,Y,N,P,N,,Y,N,Y,N,,Y,N,N,N,N,Y,Y,,N,N
Morocco,,Y,Y,,N,P,N,N,U,Y,N,N,N,,N,N/A,N/A,N/A,N/A,N,Y,N,,N,N,N,P,Y,,N,N,N,N/A,,N,N/A,N/A,N/A,N/A,N/A,N/A,,N,N
Netherlands,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,N/A,N/A,Y,,Y,N,Y,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,N,,Y,Y
Niger,,N,N,,Y,N,N,N,N,N,N,Y,N,,N,N/A,N/A,N/A,N/A,N,N,N,,N,N,N,N,Y,,N,N,N,N,,Y,Y,Y,N,Y,Y,Y,,N,N
Nigeria,,Y,Y,,Y,Y,Y,Y,N,N,N,Y,U,,Y,Y,Y,Y,Y,Y,N/A,Y,,Y,N,Y,P,Y,,Y,N,N,N,,Y,N/A,N/A,N/A,N/A,N/A,N/A,,Y,Y
North Macedonia,,Y,Y,,N/A,N,Y,U,Y,Y,Y,N,N,,Y,N/A,N/A,N/A,N/A,N,Y,Y,,N,N,N,Y,Y,,N,N,N,N,,Y,N/A,N/A,N/A,N/A,N/A,N/A,,N,N
Norway,,Y,Y,,Y,Y,Y,Y,Y,N,Y,N,Y,,Y,Y,Y,N,N,Y,N/A,N,,Y,N,Y,P,Y,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,N,Y,,Y,N
Pakistan,,Y,Y,,N/A,N/A,N,N,N/A,Y,Y,Y,N,,Y,N/A,N/A,N/A,N/A,N,N/A,Y,,Y,N,N,Y,Y,,N,N,N,N,,Y,N/A,N/A,N/A,N/A,N/A,N/A,,N,N
Peru,,Y,Y,,Y,Y,Y,U,Y,N,Y,N,U,,U,N/A,N/A,N/A,N/A,N,N/A,Y,,N,N,N,N,Y,,N,N,N,N,,Y,Y,N,N,N,N,N,,N,N
Philippines,,N,N,,Y,Y,Y,N,Y,Y,Y,Y,Y,,Y,Y,N,Y,N,N,N/A,Y,,Y,N,N,N,Y,,N,N,Y,N,,Y,N,N,N,N,Y,N,,N,N
Portugal,,Y,Y,,N/A,Y,Y,N,Y,Y,Y,Y,U,,Y,N,Y,Y,Y,Y,N/A,Y,,Y,N,Y,Y,Y,,Y,Y,N,N,,Y,Y,Y,N,Y,Y,Y,,Y,Y
Qatar,,Y,Y,,Y,P,Y,U,Y,Y,Y,Y,U,,Y,N,Y,Y,N,Y,N/A,Y,,Y,N,Y,Y,Y,,N,N,Y,N,,Y,N/A,N/A,N/A,N/A,N/A,N/A,,Y,Y
Republic of Korea,,Y,Y,,Y,P,Y,N,Y,N,Y,Y,Y,,Y,N/A,N/A,N/A,N/A,Y,N/A,Y,,Y,Y,Y,N,Y,,N,N,Y,Y,,Y,N/A,N/A,N/A,N/A,N/A,N/A,,Y,Y
Romania,,Y,Y,,Y,P,Y,N,U,Y,Y,N,U,,Y,N,Y,Y,N,N,N,N,,Y,N,Y,N,Y,,Y,Y,Y,Y,,Y,N,N,N,Y,Y,N,,N,N
Russian Federation,,Y,N,,Y,P,N,N,N,N,N,N,N,,Y,Y,N,N,N,Y,N/A,N,,N,N,N,P,Y,,N,N,N,N,,N,N/A,N/A,N/A,N/A,N/A,N/A,,N,N
Saudi Arabia,,Y,Y,,N/A,Y,Y,Y,Y,Y,Y,Y,Y,,Y,N/A,N/A,N/A,N/A,Y,N/A,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,Y,Y,N,Y,Y,Y,Y,,Y,Y
Senegal,,Y,Y,,Y,P,U,U,Y,N,N/A,N/A,U,,Y,N/A,N/A,N/A,N/A,N/A,N/A,Y,,Y,Y,N/A,Y,Y,,N/A,Y,N/A,Y,,Y,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A
Sierra Leone,,Y,Y,,Y,P,Y,Y,Y,N,N,N,U,,U,N,N,Y,N,N,N/A,Y,,Y,Y,N,Y,Y,,Y,Y,N,N,,Y,Y,Y,Y,Y,Y,Y,,Y,Y
Slovakia,,Y,Y,,Y,Y,Y,Y,U,Y,N,Y,U,,Y,Y,N,N,Y,N,Y,Y,,N,N,N,N,Y,,N,N,N,Y,,N,N/A,N/A,N/A,N/A,N/A,N/A,,N,N
Slovenia,,Y,Y,,Y,P,Y,Y,Y,Y,Y,N,U,,Y,Y,Y,Y,Y,Y,N/A,N,,Y,N,N,P,Y,,Y,Y,N,Y,,Y,Y,Y,Y,Y,Y,N,,Y,Y
South Africa,,Y,Y,,Y,P,Y,U,Y,Y,Y,Y,Y,,Y,N/A,N/A,N/A,N/A,Y,N/A,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,N,,Y,N/A,N/A,N/A,N/A,N/A,N/A,,Y,Y
Palestine,,Y,Y,,Y,N,N,U,N,N,Y,N,N,,Y,N,N,Y,N,N,Y,N,,N,N,Y,N,Y,,N,N,N,N,,N,N/A,N/A,N/A,N/A,N/A,N/A,,N,Y
Sweden,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,N,Y,,Y,Y,N,N,Y,Y,N/A,N,,Y,N,N,P,Y,,Y,Y,Y,N,,Y,N,N,N,Y,N,N,,Y,Y
Switzerland,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,N,U,,Y,Y,Y,Y,Y,Y,N/A,Y,,Y,N,N,Y,Y,,Y,Y,Y,N,,Y,Y,N,Y,Y,N,Y,,N,N
Thailand,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,N/A,N/A,,Y,N,Y,Y,Y,N/A,N/A,N/A,,Y,Y,Y,N/A,Y,,N/A,N/A,N/A,N/A,,Y,N,N,N,N,Y,N,,N/A,N/A
Timor-Leste,,N,N,,N/A,N,U,U,U,U,N,N,U,,U,N/A,N/A,N/A,N/A,N,N,N,,N,N,N,N,Y,,N,N,Y,Y,,N,N/A,N/A,N/A,N/A,N/A,N/A,,N,N
Togo,,N,Y,,N/A,N,N/A,N,N,Y,N/A,N/A,N/A,,Y,N/A,N/A,N/A,N/A,N/A,N/A,Y,,Y,N/A,N/A,N/A,N/A,,Y,N/A,N/A,N/A,,Y,N/A,N/A,N/A,N/A,N/A,N/A,,N,N/A
Tunisia,,Y,Y,,Y,P,U,U,Y,U,Y,Y,U,,Y,Y,Y,Y,Y,N,Y,Y,,Y,Y,Y,P,Y,,Y,Y,Y,Y,,Y,N,N,N,Y,Y,Y,,Y,Y
Türkiye,,Y,Y,,Y,N,Y,N,Y,Y,Y,Y,N,,Y,Y,N,N,N,Y,N/A,N,,Y,N/A,N/A,N/A,N/A,,Y,N,Y,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N,Y
Uganda,,Y,Y,,Y,N,N,N,N,N,N,N,N,,U,N/A,N/A,N/A,N/A,N,N/A,N,,N,N,N,N,N,,Y,N,N,N,,Y,N,N,N,N,N,Y,,N,N
Ukraine,,Y,Y,,Y,P,Y,Y,Y,N,Y,N,Y,,U,N,Y,Y,Y,Y,N/A,N,,Y,N,N,Y,N,,N,N,N,N,,N,N/A,N/A,N/A,N/A,N/A,N/A,,N,Y
United Republic of Tanzania,,Y,Y,,N/A,N,N,N,Y,N,Y,Y,N,,Y,N/A,N/A,N/A,N/A,Y,N/A,Y,,Y,N,Y,P,Y,,Y,N,Y,N,,Y,N/A,N/A,N/A,N/A,N/A,N/A,,N,Y
Uzbekistan,,Y,Y,,N/A,P,U,N/A,N/A,Y,Y,Y,Y,,Y,N/A,N/A,N/A,N/A,Y,N/A,Y,,Y,Y,Y,Y,Y,,N/A,Y,Y,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,Y
